,"Site","Year","Month","Week","x","LogNormalized"
"172","Alloa",2021,"01","02",171.981371505426,5.14738616574701
"173","Annan",2021,"01","02",163.420229903016,5.09632498077858
"174","Armadale",2021,"01","02",13.4292482677025,2.59743503485852
"175","Bathgate",2021,"01","02",19.8786808626825,2.98964784403099
"176","Biggar",2021,"01","02",0,"-Inf"
"177","Blackburn",2021,"01","02",20.8526919906599,3.03748305217241
"178","Blackridge",2021,"01","02",3.44236157341336,1.23615773974853
"179","Blackwood",2021,"01","02",376.179454854494,5.93006630308029
"180","Bothwellbank",2021,"01","02",70.9886271149835,4.26251968273179
"181","Carbarns",2021,"01","02",57.1962311114129,4.04648800655432
"182","Dalbeattie",2021,"01","02",2.12860781622315,0.755468158619921
"183","Daldowie",2021,"01","02",1034.92114455165,6.94208051395797
"184","Dalmarnock",2021,"01","02","NA","NA"
"185","Dalmuir",2021,"01","02",95.2741845264039,4.55675888756721
"186","Dalscone",2021,"01","02",44.8591588150866,3.80352777758069
"187","Dunfermline",2021,"01","02",28.4635908812975,3.34862575762237
"188","Dunnswood",2021,"01","02",61.9484907833409,4.12630324592756
"189","East Calder",2021,"01","02",17.219403423995,2.84603685403215
"190","Falkirk",2021,"01","02",96.0349596203767,4.56471228788895
"191","Fauldhouse",2021,"01","02",35.2815038640977,3.56335885676349
"192","Fort William",2021,"01","02",416.175213405661,6.03110635765861
"193","Galashiels",2021,"01","02",21.5665391585888,3.07114300054563
"194","Hamilton",2021,"01","02",51.8858449172208,3.94904601534637
"195","Harthill",2021,"01","02",23.0518457772649,3.13774584334143
"196","Hatton",2021,"01","02",43.71820370508,3.77776457612118
"197","Hawick",2021,"01","02",106.469022274968,4.66785407218083
"198","Helensburgh",2021,"01","02",24.6322505200631,3.20405658108295
"199","Inverclyde",2021,"01","02",42.6082886529488,3.75204880366722
"200","Kirkwall",2021,"01","02",0.887167553289132,-0.119721415651349
"201","Lanark",2021,"01","02",65.2743876026088,4.17859973273511
"202","Lerwick",2021,"01","02",5.5028675106367,1.70526932194493
"203","Lesmahagow",2021,"01","02",37.2401080097385,3.61738635277358
"204","Levenmouth",2021,"01","02",37.0032962283294,3.61100699592834
"205","Linlithgow",2021,"01","02",17.44605655847,2.85911363792197
"206","Lockerbie",2021,"01","02",7.37208174462452,1.99770012827357
"207","Mauldslie",2021,"01","02",239.13215440335,5.47701634640684
"208","Maybole",2021,"01","02",10.0765784761945,2.31021376813602
"209","Meadowhead",2021,"01","02",59.7873628007051,4.09079431422151
"210","Nairn",2021,"01","02",14.3160124493662,2.66137866251546
"211","New Cumnock",2021,"01","02",12.1542039971987,2.49767511793949
"212","Nigg",2021,"01","02",42.9488846205842,3.76001067884007
"213","Peebles",2021,"01","02",26.5971103064245,3.28080257478961
"214","Philipshill",2021,"01","02",53.5845098093997,3.98126003021605
"215","Seafield",2021,"01","02",53.4060387457027,3.97792382469803
"216","Shieldhall",2021,"01","02",95.2704580806337,4.55671977394302
"217","Shotts",2021,"01","02",91.5646032370834,4.51704476945496
"218","Skellyton",2021,"01","02",219.761715135062,5.39254384633912
"219","Stirling",2021,"01","02",27.6674053981467,3.32025501990985
"220","Stonehouse",2021,"01","02",8.0838327982422,2.08986611627975
"221","Stornoway",2021,"01","02","NA","NA"
"222","Strathaven",2021,"01","02",56.6286978083513,4.03651588512976
"223","Swinstie",2021,"01","02",61.2152534472321,4.11439639779718
"224","Troqueer",2021,"01","02",116.816096775655,4.76060087575859
"225","Whitburn",2021,"01","02",61.5576684542326,4.11997443389073
"226","Winchburgh",2021,"01","02",9.02970600865025,2.20051980971731
"227","Allanfearn",2022,"01","02",47.6974607328869,3.86487816236592
"228","Alloa",2022,"01","02",136.470548220529,4.91610882739246
"229","Aviemore",2022,"01","02","NA","NA"
"230","Bathgate",2022,"01","02",27.5855440830279,3.31729187040256
"231","Blackridge",2022,"01","02",49.595927829918,3.90390873015721
"232","Boness",2022,"01","02",58.5280197480829,4.06950560962097
"233","Bonnybridge",2022,"01","02",88.7518979369461,4.48584481333189
"234","Bowhouse",2022,"01","02",81.7634100288539,4.40382983337496
"235","Carbarns",2022,"01","02",148.675987156352,5.00176935526358
"236","Daldowie",2022,"01","02",89.864754443613,4.49830581169721
"237","Dalmarnock",2022,"01","02",68.5310191753584,4.22728647744626
"238","Dalmuir",2022,"01","02",86.0291237979145,4.4546858877379
"239","Dalmuir - Auchinairn (6298)",2022,"01","02",329.405668994928,5.79729002765898
"240","Dunbar",2022,"01","02",161.175350154054,5.0824929037028
"241","Dunblane",2022,"01","02",49.0781867829566,3.89341467504772
"242","Dunfermline",2022,"01","02",93.1694740373926,4.53442013625366
"243","Dunnswood",2022,"01","02",41.777299889366,3.73235312716988
"244","Duns",2022,"01","02",17.4275344858175,2.85805139719255
"245","East Calder",2022,"01","02",96.6325848708981,4.57091600184383
"246","Erskine",2022,"01","02",59.9012134789981,4.0926967633302
"247","Eyemouth",2022,"01","02",37.8478783830663,3.63357492502487
"248","Falkirk",2022,"01","02",155.251729640243,5.04504786175149
"249","Forfar",2022,"01","02",101.971157385028,4.62469000256207
"250","Forres",2022,"01","02",118.600828487088,4.77576347209646
"251","Fort William",2022,"01","02",123.190392006881,4.81373106110114
"252","Galashiels",2022,"01","02",7.75170668611741,2.04791303668446
"253","Guardbridge",2022,"01","02",67.5089481263802,4.21226015392781
"254","Haddington",2022,"01","02",41.7791695086192,3.73239787820513
"255","Hamilton",2022,"01","02",71.5378197253768,4.27022625706477
"256","Hatton",2022,"01","02",121.404629737478,4.79912901412128
"257","Hatton - Fintry East",2022,"01","02","NA","NA"
"258","Hatton - Fintry North",2022,"01","02",27.4182601838622,3.31120922149608
"259","Hatton - Fintry West",2022,"01","02",16.8824226382284,2.82627300009169
"260","Hawick",2022,"01","02",47.4318336642084,3.85929359957248
"261","Inverclyde",2022,"01","02",47.0008836668746,3.85016640295618
