,Site,Year,Month,Week,x
484,Hawick,2021,01,04,27.79
485,Helensburgh,2021,01,04,49.31
486,Inverclyde,2021,01,04,14.24
487,Ironmill Bay,2021,01,04,18.3
488,Kincardine,2021,01,04,33.69
489,Kirkcaldy,2021,01,04,51.83
490,Kirkwall,2021,01,04,1.835
491,Lanark,2021,01,04,NA
492,Lerwick,2021,01,04,1.57
493,Levenmouth,2021,01,04,52.46
494,Linlithgow,2021,01,04,7.51
495,Lockerbie,2021,01,04,30.14
496,Mauldslie,2021,01,04,10.71
497,Meadowhead,2021,01,04,28.88
498,Nairn,2021,01,04,NA
499,Newburgh,2021,01,04,2.63
500,Newport & Tayport,2021,01,04,0.94
501,Nigg,2021,01,04,18.35
502,Peebles,2021,01,04,0
503,Peterhead,2021,01,04,4.955
504,Philipshill,2021,01,04,61.86
505,Seafield,2021,01,04,30.19
506,Shieldhall,2021,01,04,34.11
507,Skellyton,2021,01,04,272.62
508,Springfield,2021,01,04,13.62
509,St Andrews,2021,01,04,13.85
510,Stirling,2021,01,04,3.64
511,Stornoway,2021,01,04,1.96
512,Strathaven,2021,01,04,9.2
513,Swinstie,2021,01,04,8.31
514,Troqueer,2021,01,04,14.56
515,Whitburn,2021,01,04,108.47
516,Winchburgh,2021,01,04,1.56
517,Allanfearn,2022,01,04,52.57
518,Alloa,2022,01,04,20.77
519,Ardoch,2022,01,04,32.8
520,Armadale,2022,01,04,35.25
521,Aviemore,2022,01,04,17.02
522,Banff,2022,01,04,NA
523,Bathgate,2022,01,04,30.91
524,Blackburn,2022,01,04,59.6
525,Blackridge,2022,01,04,18.18
526,Bonnybridge,2022,01,04,37.87
527,Bowhouse,2022,01,04,48.64
528,Buckie,2022,01,04,NA
529,Carbarns,2022,01,04,76.3766666666667
530,Cumnock,2022,01,04,35.58
531,Cupar,2022,01,04,26.31
532,Daldowie,2022,01,04,43.17
533,Dalmarnock,2022,01,04,NA
534,Dalmuir,2022,01,04,60.15
535,Dunbar,2022,01,04,28.56
536,Dunfermline,2022,01,04,55.67
537,Dunoon,2022,01,04,18.08
538,Duns,2022,01,04,3.36
539,East Calder,2022,01,04,53.21
540,Erskine,2022,01,04,27.1966666666667
541,Falkirk,2022,01,04,42.1733333333333
542,Forfar,2022,01,04,52.58
543,Fort William,2022,01,04,28.06
544,Fraserburgh,2022,01,04,14.88
545,Galashiels,2022,01,04,NA
546,Hamilton,2022,01,04,49.7333333333333
547,Hatton,2022,01,04,70.6733333333333
548,Hatton - Fintry East,2022,01,04,21.14
549,Hatton - Fintry North,2022,01,04,NA
550,Hatton - Fintry West,2022,01,04,29.78
551,Hawick,2022,01,04,31.78
552,Huntly,2022,01,04,16.19
553,Inverclyde,2022,01,04,21.9466666666667
554,Inverurie,2022,01,04,NA
555,Jedburgh,2022,01,04,13.35
556,Kelso,2022,01,04,42.78
557,Kinneil,2022,01,04,76.42
558,Kirkcaldy,2022,01,04,63.3233333333333
559,Langholm,2022,01,04,20.01
560,Largs,2022,01,04,NA
561,Levenmouth,2022,01,04,19.3566666666667
562,Loch Ryan,2022,01,04,29.07
563,Lockerbie,2022,01,04,48.26
564,Lossiemouth,2022,01,04,NA
565,Meadowhead,2022,01,04,21.68
566,Meadowhead - Kilmarnock HMP,2022,01,04,NA
567,Montrose,2022,01,04,17.65
568,Neilston,2022,01,04,11.76
569,Newburgh,2022,01,04,140.23
570,Nigg,2022,01,04,52.6775
571,Paisley,2022,01,04,49.08
572,Peebles,2022,01,04,36.59
