,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Grantown on Spey,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Guardbridge,67.51,0.9,7.17,,,184.2,49.965,6.36,,,238.545,,87.28,1.99,1.22,47.235,,,0.855,27.59,,1.055,,,1.03,86.72,,,55.99,0,0,,,77.15,89.655,,14.88,,10.665,,3.51,,93.795,16.17,0,,,,0,69.43,0.105,,,21.47,,0,,,60.12,26.17,,,0.55,,,,,48.47,,0.655,,,,,0,286.57,0,,,,22.76,,0,1.315,,,144.96,,,
Haddington,41.78,,,,,,,,,,,,NA,,,26.815,,,,136.835,,,,,,,,,,,,,,,,,,,,,,,74.9,,,,,,,372.98,,,,51.235,,,,,,,,,,,,,,,,,,,,,,98.415,,,,,58.005,87.97,,,,,,,,
Hamilton,61.68,6.62,65.565,18.79,137.38,831.335,72.6766666666667,12.72,40.06,,125.135,,132.45,11.5,17.78,48.3633333333333,103.375,3.91,11.7,66.33,30.68,9.23,79.3,,23.36,46.88,,,34.97,6.36,6.055,23.665,31.2033333333333,237.13,97.305,,148.755,,5.15,197.34,13.175,18.17,65.2433333333333,89.04,7.735,,,91.56,12.54,120.33,7.17,,1.63,52.71,,4.82,17.7033333333333,27.2033333333333,167.55,60.005,,0.46,14.74,59.07,293.38,51.89,,55.42,49.7333333333333,13.67,18.1,,,38.45,33.63,66.125,8.625,,57.58,5.49,120.54,48.72,14.41,6.535,74.62,15.62,349.445,68.565,,0.4
Harthill,,NA,73.47,11.32,,NA,,NA,,,,,674.86,7.8,,NA,,,10.1,,,0,132.12,,33.3,177.73,,,,0.73,2.79,,,,247.4,,22.45,,14.47,153.11,58.37,0.51,82.23,634.09,1.54,,,,60.53,NA,0.33,,,212.63,,0.16,,,,159.6,,,1.9,87.6,,23.05,,,,7.31,,,,,3.49,261.08,0.52,,,,56.04,,0.92,0,64.01,,NA,,,
Hatton,122.76,10.02,87.365,39.88,40.97,148.32,106.4875,9.36,12.47,,83.9566666666667,,95.7375,73.94,36.17,56.0075,55.975,1.03,6.28666666666667,120.42,28.64,16.4133333333333,75.975,5.08,5.88666666666667,104.16,,0.57,57.9625,5.915,9.015,,15.25,126.18,84.6733333333333,,105.783333333333,,8.61666666666667,131.95,18.3566666666667,31.9866666666667,33.52,33.8,7.95,,,,11.5633333333333,78.2,3.59333333333333,0.58,1.04,56.5375,2.43,5.33333333333333,16.18,7.33,95.62,59.4533333333333,,6.05,5.49666666666667,226.176666666667,197.83,43.6633333333333,29.44,19.4433333333333,70.6733333333333,8.06,,,,16.2,43.29,75.3933333333333,3.89666666666667,0.6,26.4666666666667,5.45,114.675,58.6933333333333,,32.7933333333333,42.5766666666667,11.21,217.18,88.8433333333333,,4.97
Hatton - Fintry East,NA,,11988.53,,,803.06,,,,,,,32.39,141.485,,49.03,71.16,,,NA,,1.825,60.325,,,NA,,,,,1.125,,,692.57,466.67,,,,,,206.29,,20.2,13.5,,,,,,NA,2.14,,,42.45,0.51,0,,,8.53,208.595,,,,795.775,,,,13.61,21.14,,,,,,,27.68,0.67,,6.505,,321.74,,0,6.555,19.13,,NA,,,
Hatton - Fintry North,27.42,,231.35,,,792.79,75,,,,,,23.875,181.86,,20.55,13.095,,,,,12.51,178.155,,,16.43,,,,,25.65,,,,40.935,,,,,,53.475,,49.28,233.72,,,,,,21.71,0,,,43.31,7.765,0,,,164.995,118.7,,,,235.87,,,,97.46,NA,,,,,,,75.82,0,,57.08,,106.88,,0.89,17.86,37.385,,160.41,,,
Hatton - Fintry West,75.44,,221.13,,,,NA,,,,,,769.88,63.155,,16.02,0.81,,,NA,,12.325,497.815,,,135.53,,,,,1.195,,,,64.835,,,,,,9.975,,4.855,26.06,,,,,,NA,3.94,,,15.635,4.1375,0,,,61.92,104.715,,,,127.47,,,,74.37,29.78,,,,,,,80.26,0.855,,5.985,,NA,,0,338.84,49.4,,116.4,,,
Hawick,47.43,0.36,13.05,82.89,0.55,11.82,9.52,0.78,19.89,,11.59,,,33.71,27.79,151.97,35.48,0,0.58,68.46,24.09,,,3.88,3.15,15.49,,1.81,26.84,0,0.16,19.33,3.99,17.71,110.63,,46.89,,0.18,196.95,0.83,25.92,55.41,33.59,0.2,,,0.37,0.23,24.05,0,,2.19,41.49,,0.95,3.98,4.3,51.76,0,0,4.12,0,1089.3,,106.47,2.33,14.13,31.78,0.41,10.11,,,3.44,3.52,86.44,2.34,,8.65,4.07,85.65,54.67,NA,,20.54,3.7,38.49,41.29,0,0
Helensburgh,,82.43,5.43,53.08,142.74,1639.82,110.355,44.94,,,347.84,,80.97,11.74,49.31,156.485,5.78,,22.79,241.81,11.68,12.08,0,3.12,142.35,235.41,,,82.42,44.62,5,16.27,4.77,122.05,82.88,,349.74,,73.94,286.6,0,70.67,110.935,36.98,40.49,,,67.93,340.31,67.17,5.45,,0,177.09,,1.13,22.84,16.3,6.56,69.98,,0,93.07,14.08,174.46,24.63,10.02,25.2,,47.79,,,,58.09,22.54,140.09,3.27,,15.41,4.28,221.49,,1.98,5.69,67.88,0,0,,0,0
Huntly,,,11.77,,,21.225,15.82,,,,,,163.22,8.23,,35.725,7.98,,,,,0.26,6.92,,,142.505,,,,,,,,,178.275,,206.7,,,,0.605,,46.535,10.47,,,,,,144.585,,,,15.345,,,,,181.33,137.11,,,,2.645,597.15,,,66.465,16.19,,,,,,,72.61,,,9.685,,21.15,8.35,,0,18.85,,156.45,,,
Inverclyde,67.44,4.775,39.37,117.89,,194.91,28.51,1.895,,,35.485,,94.32,17.925,14.24,19.13,41.235,,1.55,35.535,92.27,7.24666666666667,25.625,,6.9,23.62,,,23.2033333333333,1.74,3.46,,,79.925,41.58,,95.98,,8.58,,6.265,44.31,45.51,46.145,6.51,28.68,,,11.1,39.05,0.825,,,65.58,1.64,3.80333333333333,,,54.325,46.825,,,9.835,47.56,229.35,42.61,,,21.9466666666667,2.845,18.61,,,,15.51,59.5925,10.645,,21.66,,113.62,59.38,7.85,7.045,18.68,,79.775,35.99,,
Inverclyde - Gourock,83.07,24.3725,194.105,,,84.94,,,,,,,24.73,96.515,,68.35,67.71,,,,,85.61,40.58,,,106.48,,,,83.36,,,,79.55,24.395,,,,,,53.64,,32.33,51.405,,,,,,56.58,7.34,,,33.45,201.35,,,,129.105,28.12,,,,79.1,,,,90.74,,,,,,,,24.11,190.53,,28.72,,137.34,,25.085,325.115,14.68,,83.05,,,
Inverurie,82,,11.14,,,322.18,NA,,,,,,76.62,4.81,,45.96,,,,,,4.52,NA,,,237.12,,,23.27,3.94,2.68,,,93.86,227.055,,,,,,4.87,,87.995,36.35,,,,,,157.745,4.18,,,18.98,,2.14,,,,232.145,,,,115.785,,,,,NA,,,,,,,120.14,15.49,,20.6,,101.52,76.06,0.075,0.44,43.88,,225.43,,,
Ironmill Bay,,1.42,140.285,,,87.515,59.65,52.025,,,,,49.63,29.59,18.3,82.31,,,12.605,48.02,,15.35,37.385,,,,,,,2.27,5.32,,,34.41,86.01,,64.74,,12.44,,21.035,,85.845,53.81,8.145,,,,1.08,43.13,0.305,,,77.685,,0.565,,,,16.02,,,4.74,14.795,,,,5.01,,5.255,,,,,8.04,68.005,16.4,,,,112.285,45.85,0.79,2.09,47.15,,41.65,,,
Jedburgh,72.195,,,,,,14.445,,,,,,,,,56.38,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,195.865,,,,,,,7.255,,,,35.72,,,,,,,,,,,,,,,13.35,,,,,,,15.72,,,,,18.06,,,,,,,,,
Kelso,75.495,0,23.17,,,52.86,30.935,0,,,18.08,,152.95,6.455,,10.575,0,,,60.435,,0,,,,5.93,,,51.195,0.085,0,,,25.03,65.66,,3.41,,,,0.08,,30.385,9.64,,,,,,24.21,0.39,,,34.575,,1.44,,,,5.675,,,,23.51,,,,,42.78,0.095,,,,,,55.66,1.845,,,,49.77,,0,0.77,7.13,,24.43,,,
Kincardine,,6.68,3.29,,,,,2.045,,,,,,NA,33.69,,,,15.69,,,10.34,,,49.76,,,,,9.215,5.235,,,,,,,,7.735,,NA,,,,94.24,,,,198.29,,0.51,,,,,0.525,,,,,,,31.805,28.93,,,,,,2.64,,,,,338.13,,0,,,,,,0.25,NA,,,,,,
Kinneil,,,,,,,110.055,,,,,,225.636666666667,,,105.943333333333,,,,41.025,,,,,,,,,123.8,,,,,,,,,,,,,,101.013333333333,,,,,,,144.465,,,,91.6266666666667,,,,,,,,,,,,,,,76.42,,,,,,,151.01,,,,,59.11,NA,,,,,,,,
Kirkcaldy,117.39,11.455,110.57,,,517.605,63.84,23.63,,,117.86,,131.793333333333,83.37,51.83,113.573333333333,,,4.535,99.525,,22.335,70.715,,15.725,112.95,,,117.87,6.26,10.06,,,138.25,112.295,,136.22,,11.6,132.08,33.39,,70.4166666666667,89.145,26.3,,,,7.37,107.965,13.525,,,98.035,,10.76,,,,67.11,,,28.675,158.43,,,,30.7,63.3233333333333,15.045,,,,,9.81,156.406666666667,16.525,,91.92,,164.585,,4.805,30.88,84.74,,193.305,119.265,,
Kirkwall,16.08,0,5.195,0.486666666666667,0,36.46,46.795,0.163333333333333,0.366666666666667,,16.88,3.16,3.81,15.505,1.835,41.445,35.925,0,0,67.45,,0,29.67,,0.11,16.79,0,0,12.15,0.223333333333333,0.13,0,0,,23.27,,12.74,,0.21,,1.97,1.63,18.71,11.5,0,,,0,0,32.705,0,,0,7.765,0,0,0,0,11.46,19.75,,1.98,0.793333333333333,5.975,,0.886666666666667,0.91,9.15,,0,0,,,0,0,138.43,0.45,,3.42,0.27,87.99,18.5,0,2.675,5.94,0,18.56,10.69,0,30.66
Lanark,188.97,14.08,15.63,50.41,,433.49,24.9,7.14,,,NA,,NA,28.51,NA,35.52,80.94,,48.32,47.12,,22.65,24.1,,29,13.09,,,69.04,,1.78,,,NA,,,,,42.96,,24.02,15.46,14,62.99,2.06,,,,59.6,,0,,,NA,,0.75,,,,NA,,,135.96,6.61,109.75,65.27,,,,3.88,,,,,22.99,46.09,NA,,,,36.26,NA,0.35,3.51,12.69,,136.87,,,
Langholm,,,96.94,,,940,47.26,,,,270.48,,11.61,1.89,,12.88,NA,,,101.35,,0,22.37,,,18.55,,,113.17,,0,,,279.85,146.11,,,,,,0,,69.78,62.775,,,,,,31.665,0,,,6.76,,0,,,13.385,46.425,,,,33.775,,,,18.61,20.01,,,,,,,5.53,,,12.775,,44.59,,0,0,NA,,NA,,,
Largs,95.61,20.7,29.935,,,60.335,0,1.35,,,48.68,,55.6,17.105,,44.285,,,11.69,,,0.32,14.52,,20.94,14.485,,,,15.6,0,,,75.74,29.03,,,,22.99,,7.725,,14.885,10.92,1.2,,,,14.925,45.665,0.885,,,46.02,,0,,,,11.325,,,4.93,7.51,,,,,NA,NA,,,,,,18.75,0.75,,,,69.93,67.485,1.19,0,11.845,,22.84,,,
Lerwick,NA,0,1.4,0.22,0,7.55,NA,0,0,,5.875,,5.575,NA,1.57,1.05,0,,0,25.36,,0.65,4.42,0,NA,0,,0,NA,0,NA,0,0,13.1,0,,4.13,,0,,0.975,3.265,NA,8.58,0,,,1.78,0,52.51,NA,,0,NA,0,0,0,0.66,1.72,0.66,,0,0,1.34,3.41,5.505,17.26,0.91,,0,0,,,,0,11.01,1.23,,1.105,0,NA,NA,0,0.3,11.325,0,1.62,1.385,0,0
Lesmahagow,,0,3.05,,,52.6,,1.395,,,,,43.54,0,,36.66,9.28,,34.01,23.32,,0,134.71,,499.44,3.47,,,,,1,,,97.72,,,,,42.19,,4.52,,83.98,33.09,2.84,,,,22.48,,0.29,,,0,,0,,,,NA,,,677.86,58.32,125.25,37.24,,,,NA,,,,,127.35,104.9,0.83,,,,97.13,73.52,3.49,0,29.88,,305.14,,,
Levenmouth,99.2533333333333,7.57,58.645,27.0525,25.83,,32.555,6.35,15.3475,,,0,111.983333333333,12.02,52.46,51.815,,0.645,5.64,93.305,72.91,4.59,41.915,2.77333333333333,6.56,,0,0.326666666666667,41.175,2.2,1.715,34.085,17.26,,,,,0,6.3,222.08,4.345,15.294,37.4075,,7.69,,,21.86,15.14,59.01,3.745,0,0,78.9966666666667,,3.875,34.4875,24.3466666666667,,,0,0.705,12.06,51.09,NA,37.0033333333333,32.7325,,19.3566666666667,9.68,21.2366666666667,,,27.405,25.78,79.76,2.02,0,,2.562,107.085,30.09,2.05,3.15,57.15,5.77333333333333,,48.39,0,0.21
Linlithgow,49.95,0.865,24.075,44.02,,207.71,56.375,6.30333333333333,,,178.83,,105.065,11.395,7.51,,13.65,,6.07,130.7,,0.55,102.68,,2.42,63.8,,,32.08,1.02,0.37,,,230.805,23.86,,147.65,,0.38,455.86,2.87,21.04,122.515,32.1,2.085,6.47,,,6.75,135.475,0.13,,,168.085,,13.48,,,,154.26,,,4.625,51.31,,17.45,,,,2.57,15.84,,,,5.255,73.97,0.8,,52.91,,118.48,211.6,0.24,12.35,31.49,,84.95,,,
Loch Ryan,24.35,,,,,147.6,14.4,,,,23.44,,21.82,2.575,,NA,16.35,,,10.68,,0,4.27,,,29.71,,,43.7,,,,,72.345,16.99,,,,,,0.92,,16.76,21.26,,,,,,96.74,,,,8.78,,,,,64.58,,,,,37.625,,,,11.39,29.07,,,,,,,15.795,,,16.06,,,,0.69,0.5,28.16,,168.6,,,
Lockerbie,89.455,0,11.04,9.895,7.08,152.67,18.765,0,1.09,,31.525,,42.43,0,30.14,43.225,67.865,0.0725,1.54,27.255,,0,2.52,0,0,2.06,,4.48,25.565,0.09,0,34.605,122.35,95.035,111.64,,58.055,,0,171.61,0.165,4.4,7.43,,0.485,,,2.6,1.955,25.205,0,,0,10.71,,0,0.215,1.905,84.42,27.375,,0,0,39.075,,7.37,3.79,20.76,48.26,0,4.14,,,1.43,1.935,83.31,0,,25.95,0.15,NA,NA,0,0.21,11.33,0.3075,62.295,44.7933333333333,,0
Lossiemouth,NA,3.42666666666667,2.45,,,34.75,24.99,3.42666666666667,,,27.46,,NA,1.195,,NA,24.64,,1.53,53.16,,0.586666666666667,20.895,,1.42,31.83,,,9.28,3.46666666666667,1.24666666666667,,,54.5,NA,,,,1.70333333333333,,0.8,,27.61,27.21,0.395,,,,3.345,NA,10.31,,,NA,3.00333333333333,2.02666666666667,,,22.46,NA,,,5.06,18.9,,,,14.4366666666667,NA,2.18,,,,,NA,NA,4.44,,12.4066666666667,,64.8666666666667,NA,3.25333333333333,0,21.61,,87.0766666666667,50.13,,
Mauldslie,,9.5,9.97,26.17,,,,9.42,,,,,53.63,31.67,10.71,122.72,,,8.6,NA,,1.09,,,55.56,68.95,,,,,5.8,,,,,,,,16.96,494.45,48.96,75.53,75.37,55.61,5.95,,,,10.25,,2.43,,,,,10.34,,,199.32,88.76,,,10.91,42.1,,239.13,,,,10.76,,,,,77.95,59.37,6.64,,,,28.4,,4.1,4.82,91.11,,447.1,,,
Maybole,,0,53.96,NA,,233.36,142.25,1.14,,,78.18,,,2.94,,216.17,,,0,314.91,,0,29.39,,0.7,2.68,,,,0.25,0,,,354.14,,,,,0.32,245.69,18.32,13.74,,,21.17,,,,30.83,181.57,0,,,129.51,,0.26,,,,,,,0,35.11,,10.08,,,,0,,,,,1.8,,0.63,,,,188.23,,0,3.46,6.97,,249.49,,,
Meadowhead,51.73,9.12666666666667,21.73,64.3166666666667,18.99,143.95,34.3475,9.93333333333333,,,84.21,0,77.2875,41.6666666666667,28.88,58.5775,81.3866666666667,0.55,15.4566666666667,34.59,127.92,14.0266666666667,26.86,26.09,32.25,61.9825,,0,36.575,4.19,8.79666666666667,23.65,51.3,213.045,72.95,,140.58,0,12.0966666666667,111.79,12.3666666666667,34.8033333333333,47.1125,30.2,9.69,,,20.76,69.96,62.035,2.805,,1.55,61.8825,3.38,11.2466666666667,31.245,,125.61,39.1433333333333,,,13.08,27.31,201,59.79,5.94,28.5233333333333,21.68,11.32,35,,,36.81,41.0366666666667,48.9525,3.835,,34.8466666666667,3.805,62.34,66.4066666666667,4.42,29.28,36.0166666666667,21.5,269.36,60.8733333333333,,0
Meadowhead - Kilmarnock HMP,4.81,,83.88,,,103.52,0.68,,,,NA,,2.6,0.28,,68.175,1.065,,,,,1.73,42.89,,,NA,,,0.79,,1.485,,,,367.47,,2445.44,,,,2.61,,25.315,16.88,,,,,,81.68,,,,25.22,,4.096,,,6.66,8.69,,,,20.73,,,,,NA,,,,,,,5.16,2.66,,5.335,,0,8.27,,0.995,28.405,,36.17,23.86,,
Montrose,38.54,,,,,,21.89,,,,,,16.3,,,50.14,,,,,,,,,,,,,26.23,,,,,,,,,,,86,,,93.81,,,,,,,173.85,,,,30.925,,,,,,,,,,,,,,,17.65,,,,,,,185.81,,,,,34.315,87.76,,,,,,,,
Muirkirk,,12.56,,,,,,0,,,,,,,,,,,2.955,,,,,,3.395,,,,,82.2,,,,,,,,,6.805,,,,,,0,,,,36.31,,0.6,,,,,,,,,,,,4.85,,,,,,,8.705,,,,,,,,,,,,,0.265,,,,,,,
Nairn,14.01,2.82,24.77,7.32,1.23,24.68,,0.38,0,,,,15.3,24.81,NA,40.32,,0,NA,40.9,,0,28.61,4.19,2.62,10.07,,0,,0,NA,0.93,0.15,47.71,47.31,,7.98,,0.2,,0.6,2.31,NA,,2.29,,,,52.54,,0,,0,NA,,0.19,0,0,98.09,21.75,,0,1.27,84.07,,14.32,3.7,23.625,,0.46,0,,,2.79,0.84,16.82,0.36,0,7.8,0,,57.32,0,4.81,4.96,9.42,31.44,95.32,,0
Neilston,54.09,0.475,8.95,,,104.22,24.55,0,,,,,,8.395,,21.085,,,27.455,,,2.48,49.03,,2.41,12.01,,,6.37,0.985,1.485,,,100.49,61.73,,86.67,,2.47,,4.63,,76.905,42.69,2.38,,,,,46.18,0.275,,,NA,,2.475,,,,65.14,,,2.62,141.46,,,,,11.76,1.355,,,,,,67.4,0,,,,168.465,,0.29,3.52,59.84,,315.85,,,
Newbridge,89.66,,,,,,61.79,,,,,,128.48,,,64.1333333333333,,,,31.4,,,,,,,,,,,,,,,,,,,,NA,,,63.1,,,,,,,90.73,,,,68.88,,,,,,,,,,,,,,,,,,,,,,42.205,,,,,71.04,41.15,,,,,,,,
Newburgh,30.67,0.07,30.69,,,84.805,210.59,6.425,,,39.55,,85.42,21.87,2.63,24.06,12.47,,9.385,231.77,,2.025,59.42,,5.33,80.97,,,104.73,0,0,,,101.68,213.19,,220.83,,7.135,,1.26,,44.3,,0.76,,,,0,78.26,0.13,,,117.43,,0,,,52.22,59.065,,,39.29,21.15,,,,,140.23,0.77,,,,,0.84,633.485,0.14,,,,241.72,34.49,0.13,0.24,,,118.705,,,
New Cumnock,,0,129.97,106.73,,323.69,33.42,0,,,,,33.66,8.21,,,,,4.54,,,1.54,114.45,,18.99,,,,27.29,,5.18,,,286.99,13.94,,NA,,19.43,,20.63,33.26,116.99,47.47,9.9,,,,17.86,,4.54,,,112.29,,56.92,,,,53.49,,,78.51,169.55,,12.15,,,,4.58,,,,,1539.12,82.12,20.7,,,,564.99,,,16.66,75.01,,80.28,,,
Newport & Tayport,,0,51.095,,,1061.21,36.46,0.15,,,63.955,,125.77,46.755,0.94,5.815,19.31,,17.725,,,7.64,27.32,,1.425,120.9,,,,0,0,,,100.83,168.245,,163.44,,3.39,,15.56,,54.69,18.1,1.16,,,,0.91,98.35,0,,,7.25,,1.16,,,,25.3,,,9.405,102.38,,,,15.91,,4.28,,,,,1.46,35.4,0.125,,,,93.81,245.05,0,18.34,13.03,,285.78,,,
Newtown St Boswell,89.21,0,3.545,,,16.48,20.27,0,,,,,4.14,0.215,,NA,9.79,,7.345,9.15,,6.215,22,,0,43.62,,,4.92,0,1.115,,,36.915,47.87,,235.19,,2.695,,1.415,,62.38,55.985,0,,,,1.29,131.505,0,,,17.74,,2.17,,,46.5,94.825,,,7.925,27.825,,,,2.44,,0,,,,,,307.06,0.135,,0,,109.04,,0,0.585,229.45,,30.44,,,
Nigg,107.185,4.29333333333333,87.08,70.52,5.975,322.02,93.4825,2.94666666666667,14.41,,44.82,5.64,82.895,46.075,18.35,66.7175,39.81,0.83,5.31333333333333,72.305,87.71,5.14,26.94,3.88,7.17,40.34,,0.1775,49.3925,6.3,3.05,13.15,,13.77,45.4,,83.155,0.33,2.89,143.82,9.965,39.22,46.14,32.915,6.86333333333333,,0,4.97,9.1,110.85,1.68,0,0.566666666666667,43.2066666666667,1.22,0.615,6.93,6.47,87.985,40.27,0,1.125,4.29333333333333,127.28,312.07,42.95,7.21,27.475,52.6775,5.87666666666667,17.46,,,2.79,11.8333333333333,112.51,2.25,0,20.07,1.18,145.335,75.7733333333333,1.14,9.105,43.62,3.345,144.605,54.665,0,3.5575
Nigg - Aberdeen RI,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
Nigg - Torry,,5.085,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,10.605,0,,,,,,,,,,,,,,16.6125,,,,,,0.4,,,,1.855,0,,,,,,,,,,,,,,0.875,,,,,,,0,,,,,,0,,,,,,,
Oban,48.14,,,,,,49.2,,,,,,,,,,,,,12.81,,,,,,,,,13.735,,,,,,,,,,,,,,,,,,,,,,,,,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paisley,56.43,2.1,39.67,,,247.51,51.6225,5.455,,,95.92,,134.1925,16.795,,56.7975,137.04,,80.59,35.41,,18.81,93.99,,42.925,46.87,,,33.3025,5.28,9.905,,,142.525,42.69,,60.64,,22.625,202.91,16.06,,29.4925,53.995,19.045,,,,,46.1133333333333,5.21,,,49.5975,,1.02,,,,33.345,,,26.29,97.74,292.44,,,46.67,49.08,19.63,,,,,,106.683333333333,2.605,,6.29,,102.855,55.775,2.545,11.39,100.42,,409.795,69.055,,
Paisley - Airport,,11.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.145,,,,,,,,,,,,,,,,,,,,,0.2,,,,,25.955,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,0.54,,,,,,,
Paisley - Blackhall,47.33,12.54,115.595,,,281.86,,,,,NA,,80.215,465.745,,113.61,78.415,,,,,20.515,58.59,,,51.42,,,,5.7,76.415,,,145.63,9.065,,,,,,39.04,,60.685,22.715,,,,,,143.44,0.15,,,,,18.2,,,95.75,25.18,,,,92.525,,,,27.945,,,,,,,,52.435,1.27,,9.215,,54.04,,2.265,16.57,82.23,,245.76,,,
Paisley - Brediland,24.93,1.156,17.125,,,4.32,,,,,0.78,,0.945,41.695,,26.635,0,,,,,0.515,7.34,,,111.3,,,,0.175,6.665,,,25.44,1.59,,,,,,0.21,,0,5.05,,,,,,19.135,0,,,11.38,,298.875,,,12.65,0,,,,4.965,,,,36.01,,,,,,,,22.665,0.385,,2.67,,0,,0,10.83,4.15,,13.01,,,
Peebles,40.54,,7.09,7.84,0,47.35,65.21,0,6.52,,1.22,0,,5.88,0,23.67,34.54,1.87,0.29,,3.83,0,,0,NA,0.05,,0,52.77,0,0,6.77,2.68,,,,8.89,,0.36,,,4.96,36.44,49.67,0,,,1.86,2.89,,0,,0,26.47,,0.54,3.95,4.48,28.14,27.88,0,0,2.43,33.95,,26.6,2.1,76.87,36.59,0,4.85,,,54.79,0,94.6,0,,15.06,4.05,52.07,,3.25,0.65,10.88,1.68,66.22,40.97,,0
Penicuik,93.07,0,129.67,,,NA,42.23,2.89,,,NA,,134.69,49.89,,66.23,,,2.36,,,16.7,289.61,,158.06,,,,,8.58,52.31,,,210.64,179.21,,145.85,,8.43,,23.37,,53.47,49.94,31.84,,,,,84.14,22.69,,,,,105.14,,,254.52,50.2,,,1.3,212.79,,,,,,7.75,,,,,,111.98,5.52,,,,152.59,,0.73,52.16,,,310.87,131.24,,
Persley,165.1,,,,,,249.2,,,,,,62.84,,,134.26,,,,73.28,,,,,,,,,,,,,,,,,,,,,,,212.145,,,,,,,164.285,,,,58.93,,,,,,,,,,,,,,,,,,,,,,115.1,,,,,,93.18,,,,,,,,
Persley - Northfield,,4.105,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,3.22,0,,,,,,,,,,,,,,15.1,,,,,,0.64,,,,117.68,0.38,,,,,,,,,,,,,,1.31,,,,,,,0.225,,,,,,1.81,,,,,,,
Perth,52.23,1.77,31.31,,,122.44,80.015,1.91,,,75.2,,61.205,21.365,,124.773333333333,77.01,,7.225,557.505,,13.105,68.25,,57.6,51.15,,,25.5266666666667,2.745,6.51,,,160.76,276.44,,274.1,,3.08,19.95,24.055,,61.6233333333333,94.19,6.935,,,,,73.445,2.055,,,58.3833333333333,,0.515,,,,84.725,,,64.025,22.045,93.73,,,,26.2566666666667,4.035,,,,,,105.65,2.685,,,,187.06,90.16,3.61,15.94,26.72,,172.93,58.72,,
Peterhead,63.785,0.143333333333333,4.425,,,23.19,46.505,0.493333333333333,,,10.1,,35.8,1.9,4.955,10.31,25.27,,0.726666666666667,,,0.805,3.84,,2.80666666666667,26.72,,,25.06,0.275,0.606666666666667,,,68.76,70.98,,57.285,,0.245,,0.185,,47.1,5.615,0.71,,,,2.34,20.415,5.345,,,31.44,0,0.28,,,7.885,19.7,,,1.72333333333333,5.285,203.49,,,2.315,111.86,0.32,,,,,40.9433333333333,28.99,0.27,,16.26,,,43.32,0.52,0.205,1.19,,37.33,38.13,,
Philipshill,87.4366666666667,4.41,70.36,31.11,34.28,192.27,63.985,8.31,13.085,,227.4,,150.43,15.77,61.86,64.4233333333333,59.28,6.69,9.28,93.76,78.18,18.85,54.24,53.15,13.74,77.97,,0.84,53.6266666666667,8.75,8.35,14.44,13.35,104.99,49.18,,70.46,,9.6,,9.21,46.13,36.4,175.36,5.97,,,20.69,12.79,60.02,4.14,0,4.83,53.1533333333333,,0.69,66.6266666666667,117.75,302.01,45.73,,0.28,8.03,49.58,NA,53.58,72.63,40.43,56.9766666666667,7.85,34.82,,,47.36,26.42,48.725,6.4,0.26,78.46,4.09,49.275,69.21,7.76,12.39,44.58,9.92,298.63,64.515,,0
Philipshill - Hairmyres Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,
Philipshill - Stewartfield (3606),,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Philipshill - Stewartfield (7801),,0.156666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.785,,,,,,,
