"","Site","Year","Month","Week","x"
"377","Dalmuir",2021,"01","04",49.0315450183313
"378","Dalscone",2021,"01","04",NA
"379","Dunfermline",2021,"01","04",3.18431806921742
"380","East Calder",2021,"01","04",70.554949637622
"381","Falkirk",2021,"01","04",30.0667023280715
"382","Fauldhouse",2021,"01","04",2.64464483453879
"383","Fort William",2021,"01","04",0
"384","Fraserburgh",2021,"01","04",38.9758226711755
"385","Galashiels",2021,"01","04",50.0084938082991
"386","Guardbridge",2021,"01","04",1.22042383636469
"387","Hamilton",2021,"01","04",17.7843241051542
"388","Hatton",2021,"01","04",36.2730393447357
"389","Hawick",2021,"01","04",27.7869246806781
"390","Helensburgh",2021,"01","04",49.3140350172784
"391","Inverclyde",2021,"01","04",14.456055150839
"392","Ironmill Bay",2021,"01","04",18.3008427427729
"393","Kincardine",2021,"01","04",33.6866725179106
"394","Kirkcaldy",2021,"01","04",51.8250577621046
"395","Kirkwall",2021,"01","04",1.83723032096365
"396","Lanark",2021,"01","04",NA
"397","Lerwick",2021,"01","04",1.56861625399207
"398","Levenmouth",2021,"01","04",52.4595547931344
"399","Linlithgow",2021,"01","04",7.50965235917984
"400","Lockerbie",2021,"01","04",30.1400798857275
"401","Mauldslie",2021,"01","04",10.7089412350511
"402","Meadowhead",2021,"01","04",28.8334287227067
"403","Nairn",2021,"01","04",NA
"404","Newburgh",2021,"01","04",2.62560741561851
"405","Newport & Tayport",2021,"01","04",0.937669302607082
"406","Nigg",2021,"01","04",18.3514020073686
"407","Peebles",2021,"01","04",0
"408","Peterhead",2021,"01","04",4.95593844917065
"409","Philipshill",2021,"01","04",61.8572741546943
"410","Seafield",2021,"01","04",30.7123805712313
"411","Shieldhall",2021,"01","04",34.1083411506441
"412","Skellyton",2021,"01","04",272.623530600418
"413","Springfield",2021,"01","04",13.6227657329178
"414","St Andrews",2021,"01","04",13.8524077488059
"415","Stirling",2021,"01","04",3.63822916567918
"416","Stornoway",2021,"01","04",1.95568793658191
"417","Strathaven",2021,"01","04",9.20292762010624
"418","Swinstie",2021,"01","04",8.30882165623107
"419","Troqueer",2021,"01","04",14.5580955295412
"420","Whitburn",2021,"01","04",108.470144225814
"421","Winchburgh",2021,"01","04",1.56179863212435
"422","Allanfearn",2021,"02","05",20.0755947994991
"423","Allers",2021,"02","05",17.5189936984554
"424","Alloa",2021,"02","05",43.7230577503659
"425","Annan",2021,"02","05",14.9957079268979
"426","Armadale",2021,"02","05",16.6279857856103
"427","Bathgate",2021,"02","05",73.3817762816803
"428","Biggar",2021,"02","05",18.396608019254
"429","Blackburn",2021,"02","05",9.67184407304505
"430","Blackridge",2021,"02","05",109.484947184024
"431","Blackwood",2021,"02","05",73.3059028066778
"432","Bothwellbank",2021,"02","05",1.85987641570629
"433","Bowhouse",2021,"02","05",7.56495096794798
"434","Carbarns",2021,"02","05",103.131683450537
"435","Cupar",2021,"02","05",12.0135224692414
"436","Dalbeattie",2021,"02","05",NA
"437","Daldowie",2021,"02","05",68.7918369434002
"438","Dalmarnock",2021,"02","05",NA
"439","Dalmuir",2021,"02","05",35.3718657858389
"440","Dalscone",2021,"02","05",NA
"441","Dunfermline",2021,"02","05",19.1882727526767
"442","Dunnswood",2021,"02","05",71.6672013869106
"443","East Calder",2021,"02","05",19.3667689082561
"444","Falkirk",2021,"02","05",69.8491809220806
"445","Fauldhouse",2021,"02","05",18.2030230752943
"446","Fort William",2021,"02","05",0.611674819489008
"447","Fraserburgh",2021,"02","05",19.6842507196519
"448","Galashiels",2021,"02","05",2.42293987222394
"449","Guardbridge",2021,"02","05",0
"450","Hamilton",2021,"02","05",33.634248397709
"451","Harthill",2021,"02","05",3.49295125151827
"452","Hatton",2021,"02","05",43.286158334205
"453","Hawick",2021,"02","05",3.52191250772176
"454","Helensburgh",2021,"02","05",22.5400421362
"455","Inverclyde",2021,"02","05",15.5129694424327
"456","Ironmill Bay",2021,"02","05",8.04284020078812
"457","Kincardine",2021,"02","05",338.125976277803
"458","Kirkcaldy",2021,"02","05",9.80926075324558
"459","Kirkwall",2021,"02","05",0
"460","Lanark",2021,"02","05",22.9887354517323
"461","Lerwick",2021,"02","05",0
"462","Lesmahagow",2021,"02","05",127.351026476501
"463","Levenmouth",2021,"02","05",25.7807357932381
"464","Linlithgow",2021,"02","05",5.25531149685347
"465","Lockerbie",2021,"02","05",1.93656529356843
"466","Lossiemouth",2021,"02","05",NA
"467","Mauldslie",2021,"02","05",77.9450143449981
"468","Maybole",2021,"02","05",1.80344254667987
"469","Meadowhead",2021,"02","05",41.0346538577818
"470","Nairn",2021,"02","05",0.843697304298691
"471","New Cumnock",2021,"02","05",1539.12125450801
"472","Newburgh",2021,"02","05",0.838554909946303
"473","Newport & Tayport",2021,"02","05",1.46017569225696
"474","Nigg",2021,"02","05",11.870604050495
"475","Peebles",2021,"02","05",0
"476","Peterhead",2021,"02","05",40.9221859910323
"477","Philipshill",2021,"02","05",26.4213283437959
"478","Seafield",2021,"02","05",17.5325315334812
"479","Shieldhall",2021,"02","05",59.112789459425
"480","Shotts",2021,"02","05",48.6847332520423
"481","Skellyton",2021,"02","05",108.671195749537
"482","Springfield",2021,"02","05",4.54002234356572
"483","St Andrews",2021,"02","05",1.5909491467091
"484","Stirling",2021,"02","05",60.8077685915393
"485","Stonehouse",2021,"02","05",7.73130257381117
"486","Stornoway",2021,"02","05",26.4160497712487
"487","Strathaven",2021,"02","05",8.16520174663919
"488","Swinstie",2021,"02","05",44.081866131679
"489","Whitburn",2021,"02","05",26.8335521188127
"490","Winchburgh",2021,"02","05",5.06469189021871
"491","Allanfearn",2021,"02","06",26.2135981107391
"492","Allers",2021,"02","06",5.99830139750524
"493","Alloa",2021,"02","06",48.4708792401079
"494","Annan",2021,"02","06",17.3143996359084
"495","Armadale",2021,"02","06",34.8969704755303
"496","Bathgate",2021,"02","06",100.084074383699
"497","Biggar",2021,"02","06",2.44097550018353
"498","Blackburn",2021,"02","06",19.7851723292655
"499","Blackridge",2021,"02","06",139.608876934744
"500","Blackwood",2021,"02","06",6.213235055148
"501","Bothwellbank",2021,"02","06",13.9693411786458
"502","Bowhouse",2021,"02","06",6.67239622656314
"503","Carbarns",2021,"02","06",41.6954466251276
"504","Coldstream",2021,"02","06",10.2104723595109
"505","Cupar",2021,"02","06",0.721633955454577
"506","Dalbeattie",2021,"02","06",3.87716566989951
"507","Daldowie",2021,"02","06",36.5497762178899
"508","Dalmarnock",2021,"02","06",NA
"509","Dalmuir",2021,"02","06",34.1490005987021
"510","Dalscone",2021,"02","06",NA
"511","Dunfermline",2021,"02","06",8.67278342311935
"512","Duns",2021,"02","06",0.494437577751754
"513","East Calder",2021,"02","06",46.4398890846978
"514","Falkirk",2021,"02","06",243.339548786158
"515","Fort William",2021,"02","06",2.69803594130901
"516","Fraserburgh",2021,"02","06",9.12672020917285
"517","Guardbridge",2021,"02","06",0
"518","Hamilton",2021,"02","06",12.536433219179
"519","Harthill",2021,"02","06",60.530763939413
"520","Hatton",2021,"02","06",11.5625626028142
"521","Hawick",2021,"02","06",0.231776496378347
"522","Helensburgh",2021,"02","06",340.310036076703
"523","Inverclyde",2021,"02","06",11.1004149544565
"524","Ironmill Bay",2021,"02","06",1.0836229017068
"525","Kincardine",2021,"02","06",198.286519095852
"526","Kirkcaldy",2021,"02","06",7.36688275558004
"527","Kirkwall",2021,"02","06",0
"528","Lanark",2021,"02","06",59.5965869796742
"529","Largs",2021,"02","06",14.9255732701041
"530","Lerwick",2021,"02","06",0
"531","Lesmahagow",2021,"02","06",22.4824952106367
"532","Levenmouth",2021,"02","06",15.1422023965336
"533","Linlithgow",2021,"02","06",6.75177169696587
"534","Lockerbie",2021,"02","06",1.95414543918655
"535","Lossiemouth",2021,"02","06",3.34612463742856
"536","Mauldslie",2021,"02","06",10.2470992511291
"537","Maybole",2021,"02","06",30.8291767285291
"538","Meadowhead",2021,"02","06",69.9613253818511
"539","Muirkirk",2021,"02","06",36.308509666305
"540","Nairn",2021,"02","06",52.5391392702989
"541","New Cumnock",2021,"02","06",17.8636129520759
"542","Newburgh",2021,"02","06",0
"543","Newport & Tayport",2021,"02","06",0.906635889151674
"544","Newtown St Boswell",2021,"02","06",1.28921819661514
"545","Nigg",2021,"02","06",9.11361099375982
"546","Peebles",2021,"02","06",2.88988446987311
"547","Peterhead",2021,"02","06",2.33756435356449
