,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Philipshill - Stewartfield (3606),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,683,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philipshill - Stewartfield (7801),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,NA,NA,0,0,8075,813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanquhar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6164,17919,9999,6487,7518,15127,1704,346,NA,NA,NA,NA,NA,NA,2770,916.958447619087,24509,340067,30228,269040,148078,34528,44717,NA,NA,NA,NA,NA,NA,NA,232422,129635,19843,1855.85546951258,72168,88189,38844,30802,NA,NA,NA,NA,NA,NA,NA,NA,43425,994160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804089,288263,302385,62111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60681,486.570033492686,19472,5958.03659757624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862.53449104918,7481.67329832726,3808.33678032973,28139,368635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seafield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1594,3866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691,9357,25637,32581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51873,25333,43502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40763,26283,11841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57888,27505,23828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164158,102807,58557,62618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26853,14852,151288,27775,29431,NA,NA,NA,NA,NA,NA,NA,NA,30240,31697,21962,21841,28488,19116,22723,2477.06356339802,25570,14056,38233,18922,17328,8796,NA,NA,NA,11869,6983,7381,9517,5504,12265,5793,3216,NA,NA,NA,NA,NA,3798,6249,3187,11405,3207,10470,6918,15119,15892,13649,26235,25326,29298,NA,43477,65618,69104,64953,71760,45871,107945,79430,80383,222126,NA,NA,NA,NA,NA,NA,593905,222905,93973,120122,112773,147170,166274,52203,100576,46851,NA,NA,NA,NA,NA,NA,66816,76029,103126,50610,23229,124069,101780,176392,207254,187969,167908,285852,NA,NA,NA,NA,289746,302165,822089,177617,208899,411607,301943,121020,204995,199122,193463,225922,NA,NA,NA,NA,123845,49605,18367,56572,91725,75370,130289,34030,80283,65613,94101,264788,39624,NA,NA,NA,56952,40396,177377,74512,124125,35926,50723,86909,132261,183207,53065,116554,238719,149867,224760,199784,NA,NA,97887,252364,30637,97494,122124,NA,310611,458274,530500,335513,NA,NA,NA,119641,334976,341035,163157,126999,NA,NA
Seafield - Cockenzie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2640.70744498851,8149.7232097412,11607.3196127138,10250.8735205271,21503,384022,201504,1889679,NA,NA,NA,NA,NA,480810,64188,47388,512881,177830,34468,5989.45583609205,43637,NA,NA,NA,NA,NA,NA,NA,NA,50824,74274,94424,NA,137849,NA,NA,121966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45365,145449,8329.76487503637,NA,NA,1150761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577,28957,27132,NA,NA,NA,NA,NA,NA,NA,NA,NA,740244,332132,99976,NA,NA,NA,NA,NA
Seafield - Craigmillar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51220,4182.17770192519,494679,2179.47633940377,29108,NA,116055,8414.84249448624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41904,97923,42420,NA,NA,NA,NA,NA,NA,NA,NA,NA,248571,53408,NA,NA,NA,NA,NA,NA
Seafield - Muirhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5443.32788033523,NA,265478,NA,NA,182575,NA,473818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118749,43345,NA,52657,NA,NA,NA,NA,NA,NA,NA,NA,300188,NA,70162,NA,NA,NA,NA,NA
Seafield - Restalrig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95989,322281,84082,291986,106440,94042,171667,205329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243617,83183,NA,NA,NA,NA,NA,NA
Seafield - Tranent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1111,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seafield - Western General,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selkirk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2345,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,5136,270,634,0,0,NA,NA,NA,NA,NA,NA,0,26994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70591,15905,20722,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89895,151848,95526,13500,38785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12065,19789,170750,86053,27596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439.84550398289,5946.08149154286,15020,180533,64969,68583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8304.8061663773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60977,NA,NA,NA,NA,NA,NA,NA
Shieldhall,1462,943,748,0,1129,2357,538.184612672469,659.828151939644,0,0,0,528.916058631913,0,0,0,0,0,0,0,0,450.962623133891,0,377.050665413411,0,0,2352,1741,590,1170,2747.5,2229,1212,0,2674,1791,2516,0,6013,6517,10154,10614,16508,10684,12650,8891,16059,5324.83451900701,5805,13418,47239,27343,21196,36717,75591,28384,NA,57776,10611.1965185182,20250,27978,76280,43220,44686,111103,68697,31660,70407,48427,17022,53859,69337,NA,17316,20457,20568,34501,90962,54256,83510,54432,16773,35925,12534,7767.19896042688,16940,34630,12143,67494,68759,55110,61740,38967,74881,45778,41713,26685,55525,7634.0816997261,11407,30505,30184,89685,105525,83293,126723,170670,58795,196972,64484,47981,84036,13620,63107,109705,27355,24686,179435,79037,58121,23211,38828,45136,49178,45825,37355,39614,29675,27304,32800,60449,64552,46924,33787,55083,15064,7156,25007,48211,40688,32875,36086,34141,30108,22417,8407,8129,18066,22691,25344,23252,10594,14525,15309,16929,11147,27999,NA,NA,NA,3969,20341,51364,37839,71623,85226,57502,43605,88512,NA,NA,NA,NA,NA,74302,NA,33612,22292,75763,69002,130375,NA,NA,NA,NA,NA,NA,NA,NA,NA,148356,80961,139931,152704,111625,101422,84326,99367,NA,NA,NA,NA,NA,NA,NA,NA,80980,65054,20571,143794,145879,486412,169190,511278,404384,NA,NA,NA,NA,NA,NA,NA,658446,848635,152600,283209,203766,372517,233847,49271,NA,NA,NA,NA,NA,NA,NA,NA,95399,67183,78279,144425,151358,94897,106620,49292,52776,NA,NA,NA,NA,NA,NA,NA,45926,61548,96012,85008,136551,83872,62196,59391,104094,152351,64804,67170,142242,113822,111243,204418,136546,NA,113596,69970,15829,54255,119859,91486,154007,142548,157541,379046,620629,NA,40864,48947,56189,49796,47249,57440,154625,NA
