,Site,Year,Month,Week,x
4065,Cupar,2021,08,35,144724
4066,Daldowie,2021,08,35,196525
4067,Dalmarnock,2021,08,35,824444
4068,Dalmuir,2021,08,35,778454
4069,Dalmuir - Auchinairn (6298),2021,08,35,184992
4070,Dalmuir - Auchinairn (6330),2021,08,35,366933
4071,Denny,2021,08,35,9067
4072,Dunbar,2021,08,35,351300
4073,Dunblane,2021,08,35,133970
4074,Dunfermline,2021,08,35,294801
4075,Duns,2021,08,35,68224
4076,East Calder,2021,08,35,332526
4077,Ellon,2021,08,35,287411
4078,Eyemouth,2021,08,35,313156
4079,Falkirk,2021,08,35,274352
4080,Fauldhouse,2021,08,35,NA
4081,Forfar,2021,08,35,117845
4082,Fort William,2021,08,35,130366
4083,Fraserburgh,2021,08,35,646405
4084,Guardbridge,2021,08,35,170266
4085,Hamilton,2021,08,35,1335330
4086,Harthill,2021,08,35,NA
4087,Hatton,2021,08,35,438350
4088,Hatton - Fintry East,2021,08,35,NA
4089,Hatton - Fintry North,2021,08,35,322518
4090,Hatton - Fintry West,2021,08,35,334062
4091,Helensburgh,2021,08,35,0
4092,Inverclyde,2021,08,35,200950
4093,Inverclyde - Gourock,2021,08,35,130221
4094,Kelso,2021,08,35,15351
4095,Kirkcaldy,2021,08,35,211211
4096,Lanark,2021,08,35,234979
4097,Lerwick,2021,08,35,2894
4098,Lesmahagow,2021,08,35,508016
4099,Linlithgow,2021,08,35,182539
4100,Loch Ryan,2021,08,35,130772
4101,Lossiemouth,2021,08,35,256676
4102,Mauldslie,2021,08,35,940753
4103,Maybole,2021,08,35,411579
4104,Meadowhead,2021,08,35,981122
4105,Meadowhead - Kilmarnock HMP,2021,08,35,135908
4106,Neilston,2021,08,35,892676
4107,New Cumnock,2021,08,35,85136
4108,Newburgh,2021,08,35,189284
4109,Newport & Tayport,2021,08,35,353522
4110,Newtown St Boswell,2021,08,35,58960
4111,Nigg,2021,08,35,576531
4112,Paisley,2021,08,35,916470
4113,Paisley - Blackhall,2021,08,35,NA
4114,Paisley - Brediland,2021,08,35,NA
4115,Perth,2021,08,35,591290
4116,Philipshill,2021,08,35,877169
4117,Sanquhar,2021,08,35,994160
4118,Seafield,2021,08,35,NA
4119,Seafield - Cockenzie,2021,08,35,121966
4120,Selkirk,2021,08,35,59180
4121,Shieldhall,2021,08,35,404384
4122,Shieldhall - Barrhead,2021,08,35,306759
4123,Shieldhall - Gorbals,2021,08,35,59565
4124,Shieldhall - Pollockshields West,2021,08,35,47213
4125,Shotts,2021,08,35,160885
4126,Skellyton,2021,08,35,906709
4127,Springfield,2021,08,35,436800
4128,St Andrews,2021,08,35,148749
4129,St Andrews - University (2979),2021,08,35,0
4130,St Andrews - University (4964),2021,08,35,23478
4131,Stevenston,2021,08,35,64980
4132,Stevenston - Stevenston East,2021,08,35,94453
4133,Stevenston - Stevenston West,2021,08,35,NA
4134,Stonehouse,2021,08,35,421327
4135,Stornoway,2021,08,35,12876
4136,Strathaven,2021,08,35,408898
4137,Swinstie,2021,08,35,1359412
4138,Whitburn,2021,08,35,499724
4139,Winchburgh,2021,08,35,4764
4140,Allanfearn,2021,09,35,677516
4141,Alloa,2021,09,35,387159
4142,Alva,2021,09,35,230940
4143,Annan,2021,09,35,191323
4144,Ardoch,2021,09,35,NA
4145,Armadale,2021,09,35,963166
4146,Aviemore,2021,09,35,246207.5
4147,Banchory,2021,09,35,202202
4148,Banff,2021,09,35,1191274
4149,Bathgate,2021,09,35,194213
4150,Blackburn,2021,09,35,230443
4151,Blackridge,2021,09,35,174238
4152,Boness,2021,09,35,372499
4153,Bonnybridge,2021,09,35,231872
4154,Bowhouse,2021,09,35,111089
4155,Buckie,2021,09,35,NA
